[import] Sweeping 973 files across 7 workers
[import] [1/973] src/dolphin/dvd/dvdidutils.c                     preset=dolphin  ver=1.3.2   0/3      ·
[import] [2/973] src/dolphin/dvd/dvdFatal.c                       preset=dolphin  ver=1.3.2   0/3      ·
[import] [3/973] src/dolphin/dvd/dvderror.c                       preset=dolphin  ver=1.3.2   0/3      ·
[import] [4/973] src/dolphin/gba/GBAGetProcessStatus.c            preset=dolphin  ver=1.3.2   0/1      ·
[import] [5/973] src/dolphin/dvd/fstload.c                        preset=dolphin  ver=1.3.2   0/2      ·
[import] [6/973] src/dolphin/dvd/dvdqueue.c                       preset=dolphin  ver=1.3.2   0/8      ·
[import] [7/973] src/dolphin/gba/GBARead.c                        preset=dolphin  ver=1.3.2   0/3      ·
[import] [8/973] src/dolphin/gba/GBA.c                            preset=dolphin  ver=1.3.2   0/7      ·
[import] [9/973] src/dolphin/gba/GBAWrite.c                       preset=dolphin  ver=1.3.2   0/3      ·
[import] [10/973] src/dolphin/gba/GBAXfer.c                        preset=dolphin  ver=1.3.2   0/6      ·
[import] [11/973] src/dolphin/gx/GXDisplayList.c                   preset=dolphin  ver=1.3.2   0/1      ·
[import] [12/973] src/dolphin/gx/GXDraw.c                          preset=dolphin  ver=1.3.2   0/3      ·
[import] [13/973] src/dolphin/gba/GBAJoyBoot.c                     preset=dolphin  ver=1.3.2   0/14     ·
[import] [14/973] src/dolphin/gx/GXBump.c                          preset=dolphin  ver=1.3.2   0/9      ·
[import] [15/973] src/dolphin/dvd/dvdfs.c                          preset=dolphin  ver=1.2.5n  3/29     ✓
[import] [16/973] src/dolphin/gx/GXAttr.c                          preset=dolphin  ver=1.3.2   1/20     ✓
[import] [17/973] src/dolphin/dvd/dvdlow.c                         preset=dolphin  ver=1.3.2   0/31     ·
[import] [18/973] src/dolphin/gx/GXGeometry.c                      preset=dolphin  ver=1.3.2   0/9      ·
[import] [19/973] src/dolphin/gx/GXInit.c                          preset=dolphin  ver=1.3.2   0/5      ·
[import] [20/973] src/dolphin/gx/GXFrameBuf.c                      preset=dolphin  ver=1.3.2   0/16     ·
[import] [21/973] src/dolphin/gx/GXPerf.c                          preset=dolphin  ver=1.3.2   0/3      ·
[import] [22/973] src/dolphin/gx/GXLight.c                         preset=dolphin  ver=1.3.2   3/11     ✓
[import] [23/973] src/dolphin/gx/GXFifo.c                          preset=dolphin  ver=1.3.2   1/26     ✓
[import] [24/973] src/dolphin/gx/GXPixel.c                         preset=dolphin  ver=1.3.2   0/12     ·
[import] [25/973] src/dolphin/mtx/mtx44.c                          preset=dolphin  ver=1.3.2   0/3      ·
[import] [26/973] src/dolphin/gx/GXTev.c                           preset=dolphin  ver=1.3.2   0/16     ·
[import] [27/973] src/dolphin/gx/GXMisc.c                          preset=dolphin  ver=1.3.2   0/23     ·
[import] [28/973] src/dolphin/mtx/mtxvec.c                         preset=dolphin  ver=1.3.2   3/8      ✓
[import] [29/973] src/dolphin/mtx/quat.c                           preset=dolphin  ver=1.3.2   0/8      ·
[import] [30/973] src/dolphin/gx/GXTransform.c                     preset=dolphin  ver=1.2.5n  3/21     ✓
